"","duration_ms","danceability","energy","loudness","tempo","valence","playlist_genre","track_popularity","track_album_release_date"
"1",194754,0.748,0.916,-2.634,122.036,0.518,"pop",66,"2019-06-14"
"2",162600,0.726,0.815,-4.969,99.972,0.693,"pop",67,"2019-12-13"
"3",176616,0.675,0.931,-3.432,124.008,0.613,"pop",70,"2019-07-05"
"4",169093,0.718,0.93,-3.778,121.956,0.277,"pop",60,"2019-07-19"
"5",189052,0.65,0.833,-4.672,123.976,0.725,"pop",69,"2019-03-05"
"6",163049,0.675,0.919,-5.385,124.982,0.585,"pop",67,"2019-07-11"
"7",187675,0.449,0.856,-4.788,112.648,0.152,"pop",62,"2019-07-26"
"8",207619,0.542,0.903,-2.419,127.936,0.367,"pop",69,"2019-08-29"
"9",193187,0.594,0.935,-3.562,127.015,0.366,"pop",68,"2019-06-14"
"10",253040,0.642,0.818,-4.552,124.957,0.59,"pop",67,"2019-06-20"
"11",207894,0.679,0.923,-6.5,121.984,0.752,"pop",58,"2019-06-21"
"12",203733,0.437,0.774,-4.918,123.125,0.329,"pop",67,"2019-08-16"
"13",192507,0.744,0.726,-4.675,121.985,0.687,"pop",67,"2019-03-29"
"14",164516,0.572,0.915,-4.451,123.919,0.678,"pop",68,"2019-05-17"
"15",255238,0.69,0.78,-4.446,126.07,0.238,"pop",63,"2019-07-12"
"16",188230,0.805,0.835,-4.603,125.028,0.722,"pop",66,"2019-12-11"
"17",173548,0.694,0.901,-4.322,118.051,0.368,"pop",60,"2019-05-03"
"18",189375,0.678,0.747,-5.289,120.002,0.516,"pop",65,"2018-12-28"
"19",159404,0.746,0.557,-6.722,111.961,0.324,"pop",69,"2019-03-08"
"20",185366,0.467,0.821,-5.466,122.676,0.232,"pop",35,"2019-10-18"
"21",215238,0.572,0.934,-5.053,125.948,0.204,"pop",70,"2019-08-23"
"22",170667,0.708,0.913,-4.329,135.016,0.707,"pop",64,"2019-08-23"
"23",210968,0.684,0.818,-4.477,123.938,0.336,"pop",62,"2019-05-08"
"24",193548,0.732,0.85,-5.999,124.024,0.372,"pop",70,"2019-10-25"
"25",205093,0.62,0.889,-3.785,110.018,0.422,"pop",58,"2019-05-24"
"26",172800,0.675,0.76,-7.037,124.933,0.468,"pop",63,"2019-06-21"
"27",192381,0.682,0.851,-7.117,126,0.348,"pop",66,"2019-08-09"
"28",175000,0.663,0.905,-3.781,125.996,0.397,"pop",8,"2019-02-01"
"29",166875,0.625,0.938,-3.983,127.997,0.371,"pop",62,"2019-05-23"
"30",155080,0.679,0.909,-2.929,119.885,0.819,"pop",30,"2019-04-19"
"31",178125,0.641,0.869,-4.754,128.091,0.358,"pop",56,"2019-11-01"
"32",172000,0.702,0.814,-7.51,121.993,0.503,"pop",56,"2018-11-30"
"33",177097,0.723,0.837,-6.487,123.952,0.643,"pop",58,"2018-11-23"
"34",169935,0.742,0.864,-5.06,125.032,0.727,"pop",60,"2019-09-05"
"35",220413,0.716,0.815,-4.121,124.975,0.351,"pop",60,"2019-11-22"
"36",185273,0.748,0.831,-5.029,128.024,0.894,"pop",55,"2019-06-21"
"37",170164,0.816,0.833,-5.972,122.032,0.793,"pop",59,"2018-11-30"
"38",172360,0.633,0.854,-4.046,126.026,0.659,"pop",63,"2018-07-25"
"39",247385,0.563,0.81,-2.921,129.975,0.495,"pop",67,"2019-07-12"
"40",218015,0.728,0.815,-2.878,124.019,0.681,"pop",55,"2019-06-27"
"41",200444,0.846,0.773,-3.503,124.008,0.586,"pop",56,"2019-10-25"
"42",228267,0.693,0.678,-7.159,103.952,0.404,"pop",87,"2019-06-28"
